"ID";"Nom de l'entreprise";"Adresse";"Téléphone";"Fax";"Email entreprise";"Spécialité(s)"
"5452";"S3I";"Manzel Chaker km 41 , Sfax";"74453217";"74453456";"contacteznous@mas-alu.com";"LIM"
"5449";"KPIT Engineering";"Route de Tunis km10, Sfax";"39 152 300";"39 152 300";"info@kpit.com";"INGINFO"
"5447";"Soft Assistance & Développement (SAD)";"Route de Tunis Km 3, Markez gaddour, Rue 629 ABOU SAMH MAHDI - 3099 Sfax";"(+216) 70295258";"";"direction@erpxpert.tn";"INGINFO"
"5444";"ISIMS";"Pôle technologique de Sfax : Route de Tunis Km 10 B.P. 242 - 3021 Sfax";"74 862 432";"74 862 432";"contact@isims.usf.tn";""
"5441";"SfaxSoft";"6 rue Abou Kacem Echabbi, Sakiet Ezzit, Sfax";"20 667 252";"74855378";"contact@sfaxsoft.com";"INGINFO"
"5433";"Isims";"Sfax";"52850454";"";"isimslinda2026@gmail.com";"MPIGP"
"5431";"ISIMS";"Sfax";"";"";"x@gmail.com";"MPIGP"
"5429";"Cisen Computer";"Rue ibn aljazzar residence diar el wafa sfax";"74407014";"74407014";"cisen@topnet.tn";"MPIGP"
"5419";"All Soft Multimedia";"Immeuble Al Itkan B11, Avenue de la liberté, Av. du 14 Janvier, Sfax 3027";"92 022 808";"74415054";"contact@asm.com.tn";"INGINFO"
"5417";"syberno";"Route Lafrane Km 1, Imm Radhwen N9     Sfax, 3003 , Tunisia";"98351522";"74460633";"contact@syberno.com";"BDAD"
"5408";"Raba7ni";"Habana km 9 impasse chaari sfax";"53704334";"";"raba7niapp@gmail.com";"MPIGP"
"5401";"FLOUKETNA";"Port de pèche sfax";"22455444";"98667842";"flouketnatn@gmail.com";"BDAD"
"5392";"Ste Elkaouthar de Huile d'Olive";"Route Teniour KM9 - Sfax";"";"74846304";"elkaouthar.siam@yahoo.fr";"BDAD"
"5387";"Lab. ATMS (Advanced Technologies For Medicine and Signals)";"ENIS, Route Soukra, km 4, 3038 Sfax";"98 520 310";"74 274 360";"atms.researchgroup@gmail.com";"INGINFO"
"5380";"Méga Chip Solution";"Route lafrane km 2 - sfax";"27060070";"27060070";"megachipsolution@gmail.com";"BDAD"
"5377";"BINetCom – Business Innovative Networks and Communications";"Pépinière Sfax Innovation I, Route de la Soukra, Km 3, 3052, Sfax, TUNISIE";"98 243 245";"98 243 245";"chalbi.kcharem@binet.com.tn";"BDAD"
"5371";"Group chimique sfax";"Sfax";"74453165";"74453150";"hnejeh@yahoo.fr";"BDAD"
"5347";"Institut Supérieur d’Informatique et de Multimédia de Sfax (ISIMS)";"Pôle technologique de Sfax, Route de Tunis Km 10, B.P. 242, 3021 Sfax, Tunisie";"+216 74 862 233 / +2";"+216 74 862 432";"contact@isimsf.rnu.tn";"IITWM"
"5328";"Association Tunisienne de l'espace Tunsa";"100 mettre, Sfax immeuble kachao";"..";"..";"hr@tunsa.tn";"BDAD"
"5326";"Sociéte SwiftCode";"sfax,rue Moussa Ibn Noussair";"94742942";"74 296 800";"contact@ste-swiftcode.com";"INGINFO"
"5324";"Aura Dynamic";"RTE MAHDIA KM 6 RUE CHEIKH MEGUDICHE SFAX, Sakiet Eddaier, Sakiet Eddaier, Sfax, 3011";"+216 95653183";"+216 95653183";"aura.dynamic.contact@gmail.com";"BDAD"
"5321";"SOFTPRO";"Etage n 1 App 3 immo Al Mokhtar Rue Ahmed Aloulou Sfax Tunisie";"93805626";"93805626";"contact@softpro.com.tn";"BDAD"
"5317";"Polysoft informatique";"Rte de Teniour Rue 1.5 Sfax";"74442637";"74237637";"contact@polysoftinformatique.com";"INGINFO"
"5305";"nexoratech";"Rue Algérie, Immeuble Triki — Sfax, Tunisie.";"+216 50 289 903";"216 29 267 950";"support@nexora.tn";"MPIGP"
"5299";"Internet Soft";"Avenue de Carthage Imm. Ribat El Madina App N°:405-Sfax";"74407731";"74407731";"sirina.inf@gmail.com";"BDAD"
"5272";"Almes sfax";"Sidi salah";"99458012";"76235690";"informatique.almesfax@almes.com.tn";"LIM"
"5266";"Infotech Consulting Services";"Avenue 5 Aout - immeuble Sfax Palace, Bloc B - Appt 94, Sfax, Sfax 3002, TN";"+216 98 462 916";"+216 74 200 986";"contact@ics-tunisie.com";"BDAD"
"5263";"Pixel Pro";"Hedi Nouira Avenue, La Coronne Building, 8th Floor, Office B-03, 3027, Sfax TUNISIA";"94 003 333";"70 296 336";"contact@pixelpro-agency.com";"MPDD"
"5262";"ITANIS";"Route Manzel Chaker Km 3.5, Sfax, Tunisie";"+216 29 797 907";"+216 29 797 907";"contact@itanis.tn";"IITWM"
"5261";"Be Synchro";"Avenue Majida Boulila - lmmeuble Baya - sfax";"93 788 662";"00000000000";"soumaya.neyly@besynchro.net";"BDAD"
"5259";"MedCity";"route de tunis, immeuble idriss, 2eme etage, sfax";"24232224";"---------";"yassin.guirat@medcity.tn";"MPDD"
"5246";"malloulinova";"route lafrane km4 sfax,tunisia";"25571398";"";"info@malloulinova.com";"LIM"
"5242";"Reach On";"Rte gremda km 0.5 imm.Phenicia Bloc A Etage 1 App 2 , 3027 Sfax";"27777122";"74448202";"contact@reachon.net";"BDAD"
"5230";"KPIT";"Route Tunis klm 10, Sfax";"39152300";"39152300";"islem.abdelhedi@technica-engineering.de";"INGINFO"
"5224";"habemus! Solutions";"Technopole de Sfax, 3021 Sfax, Tunisia";"+216 27 509 988";"+216 27 509 988";"hajer.jallouli@habemus.com";"IITWM"
"5218";"ZNet-IT";"Route de Tunis km 7.5 immeuble idriss , Sfax, Tunisia";"+216 95223043";"";"contact@znet.tn";"IITWM"
"5217";"ANNAHR Services";"Route Saltnia km 5, Sfax";"+216 27 933 700";"";"annahr.serv@outlook.com";"BDAD"
