"ID";"Nom de l'entreprise";"Adresse";"Téléphone";"Fax";"Email entreprise";"Spécialité(s)"
"5347";"Institut Supérieur d’Informatique et de Multimédia de Sfax (ISIMS)";"Pôle technologique de Sfax, Route de Tunis Km 10, B.P. 242, 3021 Sfax, Tunisie";"+216 74 862 233 / +2";"+216 74 862 432";"contact@isimsf.rnu.tn";"IITWM"
"5176";"Institut Supérieur d’Informatique et de Multimédia de Sfax (ISIMS)";"SFAx";"58362331";"74 862 233";"amalbensaad83@gmail.com";"LIM"
"4791";"soci�t� tunisienne d'�lectricit� et de gaz (centre d'informatique)";"Rue Imam Boukhari - sfax 3000";"(216)71341311";"(216)71341401";"dpsc@steg.com.tn";"BDAD"
"4159";"l'Université de Sfax";"PPPR+FV6, Université de Route de l'Aéroport Km 0.5 BP 1169 .3029 Sfax Sfax, Sfax 3029";"+216 74 244 423";"+216 74 240 913";"universite.sfax@usf.tn";"BDAD"
"4156";"Softhyma Tunisie";"Route gremda km1 , sfax";"58617530";"58617530";"Contact@softhyma.fr";"INGINFO"
"4049";"SEGULA Technologies";"STT Sfax Office • Immeuble Accoserv - Rte Tunis km2 Moulinville • 3000 • Sfax • Tunisia";"21 801 229";"";"ismail.boujelben@segulagrp.com";"LIM"
"4043";"Infomax";"Rue Khaled ibn elwalid, imm Erriadh Mezanine N76 C.P.3000-sfax-";"22731314";"74872403";"Infomax@gmail.com";"LIM"
"4024";"Mirage Group";"Cité zitouna bloc 65 app4 Sfax 3002";"21221011";"74224141";"Miragegroup.pro@gmail.com";"LIM"
"4009";"Chaaben Technology Group";"Chihia sfax";"56717008";"00000";"Contact@chaabengroup.com";"BDAD"
"4003";"Iway";"Avenue de la liberté 14 Janvier, Rue Ibn Eljazzar, Immeuble Khalifa, Bloc B Sfax, 3027";"+21670861360";"+21670861334";"contacte@iway-tn.com";"BDAD"
"3994";"Ste BEN AYED SERVICE TECHNOLOGIQUE";"Rte gremda km 6 sfax";"95 033 230";"";"contact@benayedservice.com";"BDAD"
"3980";"SiFast";"42 rue le météore, route el aïn Km1, Sfax, 3003";"29 727 073";"74 242 608";"contact@sifast.com";"BDAD"
"3973";"DEEP MIND";"1-361 Rte du Kaïd Mhamed, Sfax 3039";"+216 99697335";"+966531613770";"hassen@2earn.cash";"BDAD"
"3970";"Hypermedia Development";"Av. de la Liberté , Imm. Khalifa, Bloc B 2ème étage App. 202 – Sfax, Tunisie";"+216 74 408 885";"74 408 885";"contact@hypermedia.com.tn";"BDAD"
"3967";"STE THINK DIFFERENT";"AV CHAKER EL AIN SFAX 3013";"25707080";"74000000";"AhmedDev@thinkdifferenttn.com";"BDAD"
"3964";"iTech Data";"Rue Mohamed Jamoussi,Immeuble Ahlem centre,1étage appartement 15 Sfax";"94188251";"95160106";"Bassem.Guidara@itechdata.tn";"BDAD"
"3958";"Saker Othmen - International Trading";"Sfax, Tunisie";"27933700";"94565203";"sakerothmen@outlook.com";"PIIM"
"3956";"Saker Othmen - International Trading";"sfax , tunis";"27933700";"94565203";"sakerothman@outlook.com";"PIIM"
"3929";"Goodif INT";"N49 Cité Al Fath bir ali sfax 3040";"99502390";"il n'ya pas";"contact@goodif.net";"BDAD"
"3928";"Kacem electronic industry";"sfax 5 aout imm carrefour";"74207666";"74488038";"direction@kacem-electronic.com";"IITWM"
"3925";"IntelliTech";"Route de Tunis km6, Avenue Mongi Slim , Imm khadija 3021 , sfax";"92950430";"____________";"info@intellitech.pro";"IINFO"
